"","TestId","AddId","concentration","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"1","A2706","V",0,TRUE,"gompertz.exp",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1535632041929e-05,7416.40408373835,0.62896884587933,130777.844861417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","A2706","V",10,TRUE,"logistic",FALSE,FALSE,0,2.15613461948233e-05,12607.6417228926,0.38427992843061,92154.7890096655,5.31223266061562e-07,251.791707693376,0.000615735723448763,2.06874839221521e-05,2.24352084674946e-05,12193.444363737,13021.8390820482,0.383267043165537,0.385292813695683,2.05201485933427e-05,2.2602543796304e-05,12114.1299758136,13101.1534699716,0.38307308641265,0.38548677044857,2.77423986507891e-05,14670.9340667192,0.394806196831118,92149.4374383072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","A2706","V",25,TRUE,"logistic",FALSE,FALSE,0,1.28184166079494e-05,18212.437290855,0.182271282686451,43023.5074544118,2.54195188124045e-06,1617.92632785757,0.00210723202271433,8.63690576330888e-06,1.699992745259e-05,15550.9484815293,20873.9261001807,0.178804886009086,0.185737679363816,7.83619092071813e-06,1.78006422951807e-05,15041.3016882542,21383.5728934558,0.178141107921931,0.186401457450971,1.91682436219651e-05,23828.1209413698,0.24516989826021,43354.3161333947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","A2706","V",50,TRUE,"gompertz",FALSE,FALSE,0,1.51895366259788e-06,8783.3310420715,0.29085062408319,42423.0274681187,2.89277017171596e-08,1582.56648217782,0.00366695557436455,1.47136759327315e-06,1.5665397319226e-06,6180.00917888899,11386.652905254,0.284818482163361,0.29688276600302,1.46225536723224e-06,1.57565195796351e-06,5681.50073700297,11885.16134714,0.283663391157436,0.298037857008945,4.23309223363461e-06,33042.0635506584,0.264674326874026,42236.4908835658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","A2706","V",100,TRUE,"gompertz",FALSE,FALSE,0,4.34028361620428e-06,118910.581525073,0.3328560289361,32768.9119399197,5.27241481046997e-08,448.168594060267,0.00146150024907987,4.25355239257205e-06,4.42701483983651e-06,118173.344187844,119647.818862302,0.330451861026364,0.335260196845837,4.23694428591907e-06,4.44362294648949e-06,118032.171080715,119788.991969431,0.329991488447904,0.335720569424297,7.17745544781869e-06,130316.768720834,0.327982104100045,33484.137439975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","A2706","V",200,TRUE,"gompertz.exp",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.64526622687702e-08,117682.31419845,0.00809267734362915,933.656360098702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","I2713","V",0,TRUE,"gompertz",FALSE,FALSE,0,7.89439090581743e-06,-5221.27608894519,0.405061790150415,95581.5454962727,3.79624571773652e-07,1386.77484683639,0.00220328838808526,7.26990848524977e-06,8.51887332638509e-06,-7502.52071199105,-2940.03146589934,0.401437380752015,0.408686199548816,7.15032674514107e-06,8.63845506649379e-06,-7939.35478874451,-2503.19738914588,0.400743344909768,0.409380235391062,1.96917127299017e-05,6254.75008709779,0.457580736553068,95417.1796968688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","I2713","V",10,TRUE,"gompertz",FALSE,FALSE,0,1.27513307691014e-05,12369.4111690896,0.363439462074539,84484.7008219022,4.45894999652198e-07,544.813323884989,0.00115025019640015,1.20178334946735e-05,1.34848280435292e-05,11473.1932512988,13265.6290868804,0.36154730050146,0.365331623647617,1.1877376569783e-05,1.36252849684197e-05,11301.577054275,13437.2452839042,0.361184971689594,0.365693952459483,2.33840587153023e-05,17559.4115708929,0.38955933827869,84439.3813566188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","I2713","V",25,TRUE,"gompertz",FALSE,FALSE,0,1.04135712607015e-05,46890.729068636,0.331691492601494,65009.5788225836,2.4287208846818e-07,404.280598929232,0.000823315137768671,1.00140466751713e-05,1.08130958462316e-05,46225.6874833974,47555.7706538745,0.330337139199865,0.333045846003124,9.93754196730383e-06,1.08896005540991e-05,46098.3390947347,47683.1190425372,0.330077794931468,0.333305190271521,2.12250950213319e-05,53235.197525812,0.340489066692697,65208.4315555936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","I2713","V",50,TRUE,"gompertz",FALSE,FALSE,0,7.46915279297261e-06,93967.8172680796,0.301648001460973,43426.99719399,1.38401673243286e-07,400.819032599119,0.00083697638473636,7.2414820404874e-06,7.69682354545781e-06,93308.4699594541,94627.1645767052,0.300271175308082,0.303024827613864,7.19788551341576e-06,7.74042007252945e-06,93182.2119641853,94753.4225719739,0.30000752774689,0.303288475175056,1.67163396423103e-05,101810.631566436,0.311300538275084,43669.8609813957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
